site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London Marylebone Road,MY1,2018-11-04 02:00:00,261.0133104454219,82.77419416299342,116.24452406207537,9.197878545965846,23.32268501029803,2.822275937182865,165.08038075130776,7.4278454296423995
London Marylebone Road,MY1,2018-11-04 03:00:00,257.2461714359054,81.15874170000116,114.84123061830697,9.167936376929728,23.777692725942046,2.8319305710581797,163.44238421022078,7.547402682093828
London Marylebone Road,MY1,2018-11-04 04:00:00,251.71723358576904,79.92474216900443,112.040144671994,9.291096870595396,24.153190516269508,2.844967045474589,161.93327924188856,7.673887244876763
London Marylebone Road,MY1,2018-11-04 05:00:00,248.71454143191085,78.89947917951874,110.7504988593619,9.284447360958046,24.55543694598414,2.8398303405204874,160.3349805795498,7.783882349550316
London Marylebone Road,MY1,2018-11-04 06:00:00,247.61275875257576,78.1779369333434,110.50251258606045,9.237473997106575,25.051748342947473,2.8320496511433495,158.80951776793916,7.892142238871851
London Marylebone Road,MY1,2018-11-04 07:00:00,246.46961300434523,77.48453607833851,110.20919648495936,9.164662117013307,25.51744142122679,2.822876080485499,157.28716018551947,7.984154387411947
London Marylebone Road,MY1,2018-11-04 08:00:00,246.79222123965624,77.08649822010325,110.67918966902185,9.022551224573332,26.071914885677852,2.8185177154906413,155.8538946640324,8.069719272507252
London Marylebone Road,MY1,2018-11-04 09:00:00,246.73110007572035,76.8110056330843,110.81899903955733,8.877500745288753,26.623040895444575,2.8135602235238903,154.3361791722728,8.153930405055378
London Marylebone Road,MY1,2018-11-04 10:00:00,247.3364776564293,76.72041723463526,111.27289620729748,8.721079136691335,27.125947262587093,2.8041850806023847,152.83720295610652,8.225699955447574
London Marylebone Road,MY1,2018-11-04 11:00:00,250.06589799940627,76.71037656472085,113.05952607512293,8.513689897059264,27.711825516327384,2.794315831552233,151.33184960331684,8.291905264420562
London Marylebone Road,MY1,2018-11-04 12:00:00,252.5539094205404,76.91478074248381,114.54885593180269,8.165626928255666,28.306872767237177,2.7957876478538393,150.01361137877942,8.364748398852294
London Marylebone Road,MY1,2018-11-04 13:00:00,254.76862951534633,77.07380673021326,115.88954461455289,7.755045422612652,28.87931411224906,2.7909842993828256,148.9183003900424,8.455089530265516
London Marylebone Road,MY1,2018-11-04 14:00:00,255.37677852957296,76.92550080448002,116.38289160568867,7.313915320861176,29.354559005610373,2.7889963564531866,147.8956187675047,8.529874703355075
London Marylebone Road,MY1,2018-11-04 15:00:00,255.49261135592096,76.68407933737276,116.61588683076339,6.904139293664324,29.76093275446472,2.777981025103958,146.9012575398453,8.594600573545904
London Marylebone Road,MY1,2018-11-04 16:00:00,255.4347791404724,76.48566991613932,116.70756898140392,6.566144269145478,30.150510960268132,2.7692913972673425,146.05713066111588,8.64849981112844
London Marylebone Road,MY1,2018-11-04 17:00:00,254.80241591262325,76.00910086022604,116.60596261443067,6.410748262783317,30.531651588258768,2.762654757527794,145.22967939841,8.692086679457693
London Marylebone Road,MY1,2018-11-04 18:00:00,253.82957691135482,75.41106752249448,116.36152077050183,6.437866155540093,30.859287653771297,2.753143765063892,144.3415614904933,8.723590899771082
London Marylebone Road,MY1,2018-11-04 19:00:00,254.58306162111583,74.73234847615178,117.2955798814324,6.504171824226403,31.191660498091338,2.74693771078167,143.47343294498154,8.742728746403381
London Marylebone Road,MY1,2018-11-04 20:00:00,254.2841326167982,74.0224207014082,117.56362618830646,6.568758322509631,31.4791379482529,2.7343470667836995,142.60756793741862,8.756177512323774
London Marylebone Road,MY1,2018-11-04 21:00:00,255.32355456290176,73.46984119033122,118.60190242952541,6.619781350565416,31.73662449457461,2.7170912952955115,142.16106521619326,8.789722185988428
London Marylebone Road,MY1,2018-11-04 22:00:00,254.77301512928634,72.83079030803788,118.65962813273308,6.6478662107606405,31.92920528016433,2.6991557679299647,141.80606851079892,8.857695402285602
London Marylebone Road,MY1,2018-11-04 23:00:00,252.5464996696938,71.87163273354537,117.83307880816987,6.66434722280585,32.095964320002736,2.6837414183562367,141.75105249512032,8.953028072745397
London Marylebone Road,MY1,2018-11-05 00:00:00,250.18518513291286,71.00865228498822,116.85589065309857,6.720349069326331,32.201708960128435,2.678907071797619,141.9156850322714,9.070139525268317
London Marylebone Road,MY1,2018-11-05 01:00:00,247.1874026765443,70.18281232543852,115.43938672399831,6.827567305365715,32.228639692106775,2.690198506331517,142.03369525994648,9.203123184363829
London Marylebone Road,MY1,2018-11-05 02:00:00,244.44311685524008,69.53803260579359,114.07012446589825,6.912416555415229,32.27628764868911,2.7140336642608376,142.15391668453714,9.346250501809596
London Marylebone Road,MY1,2018-11-05 03:00:00,240.82811255719568,68.27902696844458,112.53358201371296,7.00319227276684,32.31830564113097,2.761115355231905,142.13832346075293,9.493287304839555
London Marylebone Road,MY1,2018-11-05 04:00:00,238.15745916917336,67.60590543202383,111.23082562754846,7.088187653052361,32.33193633025404,2.810702809645217,141.8719853512298,9.623687620579593
London Marylebone Road,MY1,2018-11-05 05:00:00,234.83171169695868,66.37653886994933,109.8636016901651,7.1652888955336,32.3393360649917,2.8759129614341874,141.8721721866978,9.736318409641797
London Marylebone Road,MY1,2018-11-05 06:00:00,239.5369918626866,66.42217441801418,112.90254280656951,7.212936772604991,32.41221527916475,2.927853560290118,141.91089066138855,9.84134128555285
London Marylebone Road,MY1,2018-11-05 07:00:00,243.9651660855563,66.78583189834379,115.55335159659272,7.261054258473738,32.533997957162306,2.9626745759771693,141.17738342257326,9.92848842822363
London Marylebone Road,MY1,2018-11-05 08:00:00,247.1435116338229,66.82115325423061,117.60317840878584,7.287803228287009,32.708546663966054,2.9721584662879756,140.0131782524991,10.008920843076252
London Marylebone Road,MY1,2018-11-05 09:00:00,251.69749469566997,67.18446383052388,120.33626373904997,7.29073787278298,33.02476848831351,3.0189384764173877,139.29933430330925,10.08496050707728
London Marylebone Road,MY1,2018-11-05 10:00:00,254.81044818080258,67.26609245226078,122.313242254444,7.259652038722708,33.29734907063705,3.04857942370538,139.1294993384828,10.152883923168146
London Marylebone Road,MY1,2018-11-05 11:00:00,258.85824619814264,67.51252624446172,124.79242752908098,7.143328330860246,33.55382724747511,3.0845626135949082,139.2446894177396,10.214134619778159
London Marylebone Road,MY1,2018-11-05 12:00:00,262.5113242192607,67.7272774499146,127.0348457322583,7.019978957733095,33.801320383007784,3.112960757774964,139.15554467699715,10.28287211679265
London Marylebone Road,MY1,2018-11-05 13:00:00,266.76731849731686,68.27029204542325,129.4563880891621,6.780639789599899,33.9276314920109,3.1551891306802484,138.97367889702267,10.377974757728042
London Marylebone Road,MY1,2018-11-05 14:00:00,270.407225977984,68.62734705142788,131.59740866919822,6.566976088885672,34.0416431357734,3.2033845507551337,139.11486942685272,10.469528710492343
London Marylebone Road,MY1,2018-11-05 15:00:00,273.14877500183115,68.81482590409205,133.26312988103646,6.46697332311099,34.10396301232307,3.243544351825313,139.57961545426977,10.550122383155887
London Marylebone Road,MY1,2018-11-05 16:00:00,275.18677087417234,68.77725016705747,134.61678245699397,6.43393783673746,34.07023997261332,3.2821222340969323,140.20732486498412,10.619417845747272
London Marylebone Road,MY1,2018-11-05 17:00:00,276.4265450605738,68.69779380802852,135.4771621545505,6.422349554082331,33.965679527189494,3.317146177155294,140.9383839324326,10.675518455715082
London Marylebone Road,MY1,2018-11-05 18:00:00,277.2101020787608,68.5550798233853,136.0812604405253,6.473918118667588,33.803206184697935,3.349123499428678,141.5917416351182,10.717036582820775
London Marylebone Road,MY1,2018-11-05 19:00:00,278.1812427900562,68.43746384314284,136.79132909505574,6.525485017266561,33.640300393476075,3.3807334181391444,142.2964062544428,10.749036603147381
London Marylebone Road,MY1,2018-11-05 20:00:00,278.5203921714155,68.25022350628008,137.13463160097137,6.586967043643705,33.413462147595254,3.402661600821199,143.00038417296335,10.75429238818665
London Marylebone Road,MY1,2018-11-05 21:00:00,279.0618394627416,68.16319081971142,137.54451560614427,6.628760175585438,33.13465670887078,3.4291409125620094,143.82352178922702,10.775851642809672
London Marylebone Road,MY1,2018-11-05 22:00:00,278.79708744061605,67.96323388606606,137.50225734042806,6.624638582520885,32.89717205969977,3.462004136464742,144.7158102103399,10.81399334980489
London Marylebone Road,MY1,2018-11-05 23:00:00,279.95784852593835,67.6225541786339,138.48147160005615,6.606702485637465,32.61993092337438,3.5097123953377127,145.7886797693706,10.864484491635519
London Marylebone Road,MY1,2018-11-06 00:00:00,280.48507907799194,67.51827140344123,138.8933339291812,6.667869061432848,32.29775661926463,3.5651385004703315,146.9742029849049,10.925542762958543
London Marylebone Road,MY1,2018-11-06 01:00:00,282.78069951587713,67.8852580383023,140.1511560891884,6.7132833225688495,31.946904171855646,3.626594326501585,148.21674354073582,10.996541426483583
London Marylebone Road,MY1,2018-11-06 02:00:00,282.515683877054,67.95642001196572,139.9319067697067,6.855485344643497,31.64533173881079,3.709147484834026,149.73518384570224,11.084775534882
London Marylebone Road,MY1,2018-11-06 03:00:00,282.350755077307,67.95758868599286,139.82358074018907,7.022687175935918,31.213471463961252,3.7889738277880274,151.55311835673626,11.189500795274364
London Marylebone Road,MY1,2018-11-06 04:00:00,282.52240808019144,68.22689769535823,139.75989121769499,7.171698239746184,30.814865700349785,3.853357533296008,153.588025929924,11.29190865218852
London Marylebone Road,MY1,2018-11-06 05:00:00,286.1315992036253,68.84229068482712,141.71239547412128,7.193442015770593,30.417761057242945,3.908836318238706,155.57950382727043,11.384712183599023
London Marylebone Road,MY1,2018-11-06 06:00:00,288.31184330241837,68.83361403761755,143.1399723975184,7.2474747342181605,30.020245816516695,3.956298794460781,157.49867555159327,11.466192943611123
London Marylebone Road,MY1,2018-11-06 07:00:00,292.4798577871286,69.43769072668276,145.46431215327618,7.261794861157865,29.68239664338657,4.000602853516357,159.38862149973608,11.537719929733093
London Marylebone Road,MY1,2018-11-06 08:00:00,296.380317869145,70.18943864633813,147.5178485940512,7.312300857915748,29.38017799337883,4.041745107636294,161.18570818766597,11.596104912430036
London Marylebone Road,MY1,2018-11-06 09:00:00,300.90424180125905,71.29080677124138,149.74998129223906,7.33602189760515,29.343616850074508,4.080909751522454,162.87047796334414,11.64579925095963
London Marylebone Road,MY1,2018-11-06 10:00:00,304.44763164906215,72.09858670545056,151.5340996795248,7.356575326349346,29.161596926604286,4.118091703521141,164.38886440278117,11.684014472545126
London Marylebone Road,MY1,2018-11-06 11:00:00,307.2392868063976,72.59265855808583,153.03254442511113,7.359825576010989,28.921360561951683,4.15457763835061,165.89654735501813,11.711729811855596
London Marylebone Road,MY1,2018-11-06 12:00:00,311.09531715184687,73.5727810961512,154.9081624976392,7.360528603270673,28.648782689843472,4.194034477324845,167.4832922001033,11.721903621351176
London Marylebone Road,MY1,2018-11-06 13:00:00,315.2716968450658,74.61633776555028,156.95133651512606,7.316749245828861,28.32315895919834,4.23300025916266,169.10511434561067,11.750273138882019
London Marylebone Road,MY1,2018-11-06 14:00:00,318.0757332929886,75.32489608076168,158.3179716972773,7.425178605066164,27.87837553081004,4.2654312037235,170.7100508334082,11.768472065297969
London Marylebone Road,MY1,2018-11-06 15:00:00,320.5064442264534,76.07240614224936,159.41572667033572,7.625258630660678,27.39484991334695,4.288434664329663,172.13913212123416,11.769638474211868
London Marylebone Road,MY1,2018-11-06 16:00:00,322.2542531195672,76.67699023533484,160.16131843864923,7.821805094117583,26.952238722529337,4.309441881971802,173.48209411554564,11.751079597325099
London Marylebone Road,MY1,2018-11-06 17:00:00,322.9898610188621,77.00385570495574,160.42789326762613,8.094137077690187,26.471131125287826,4.324770690374818,174.6907149716682,11.721711534841095
London Marylebone Road,MY1,2018-11-06 18:00:00,323.1128308236246,77.41759561243559,160.23825779751388,8.373951694897574,25.967338009573723,4.336680223387776,175.62801583436323,11.683104687143357
London Marylebone Road,MY1,2018-11-06 19:00:00,322.48085986498813,77.66483080226067,159.66485437962777,8.655521177517363,25.398046104140107,4.350011433719114,176.3075108534954,11.638322783250995
London Marylebone Road,MY1,2018-11-06 20:00:00,321.4971761790785,77.80133500792189,158.93428685696813,8.8774124353282,24.811458620930996,4.351668730380971,176.71577023465142,11.567833301427255
London Marylebone Road,MY1,2018-11-06 21:00:00,321.2112327604979,77.81634036554327,158.73801307471018,9.061792915425826,24.155346492548343,4.332930640506851,177.08845160310682,11.480596044097425
London Marylebone Road,MY1,2018-11-06 22:00:00,321.02246404051584,78.26062694611531,158.32514519352281,9.260095520044295,23.519111760800623,4.322161599973896,177.78183579814723,11.415732799868097
London Marylebone Road,MY1,2018-11-06 23:00:00,320.52093401444705,78.6416839300859,157.74953693942675,9.486115716060526,22.829952452651103,4.322720920658426,178.53073638236773,11.367018204172947
London Marylebone Road,MY1,2018-11-07 00:00:00,318.5699476568924,78.39215015233378,156.63987850254384,9.697025367272675,22.13449375717965,4.326253178149207,179.26075726796404,11.33177117651691
London Marylebone Road,MY1,2018-11-07 01:00:00,317.3318902480113,78.56664973548573,155.7186327870389,9.888822207771346,21.489726590083258,4.334903169086919,180.01269600354672,11.309763042483219
London Marylebone Road,MY1,2018-11-07 02:00:00,316.63641325745135,78.69130323701602,155.18375769281693,10.072636952121744,20.892098367256363,4.3405892008066,180.68028538560048,11.296184355616425
London Marylebone Road,MY1,2018-11-07 03:00:00,314.7181342271673,78.25191892103221,154.21924768107863,10.264201664237525,20.198462799746025,4.344841189850553,181.23554938597962,11.284325808528976
London Marylebone Road,MY1,2018-11-07 04:00:00,312.9215140205311,78.45528187620008,152.91489274526876,10.486675415344806,19.54033816710751,4.3469112861817685,181.71259437047206,11.262106108312672
London Marylebone Road,MY1,2018-11-07 05:00:00,314.81430030845,79.22383984497812,153.64809519699713,10.64887663036815,18.93833582615927,4.3397341278764,182.03079651526852,11.22796942199132
London Marylebone Road,MY1,2018-11-07 06:00:00,316.09841896309854,79.84862224153662,154.07810318737234,10.764576921089509,18.36386520743428,4.328268223231944,182.44816916479178,11.184262118469237
London Marylebone Road,MY1,2018-11-07 07:00:00,316.7537650864234,80.46996845821128,154.10027734033685,10.942775708776255,17.81071500560816,4.312195799503336,182.9615376405834,11.139307268962432
London Marylebone Road,MY1,2018-11-07 08:00:00,318.1391635179195,81.24710750948314,154.49697373864691,10.993520044290719,17.389748610584267,4.291190614522677,183.32848978326248,11.091298853743913
London Marylebone Road,MY1,2018-11-07 09:00:00,318.92296170178713,81.81360722026905,154.63869213885758,11.059763553867068,17.020620673176847,4.273343677320071,183.63712097208145,11.041482894302305
London Marylebone Road,MY1,2018-11-07 10:00:00,319.6790734515188,82.41926617060243,154.7368149332759,11.131775021211485,16.591004287215256,4.247882051428038,183.89056726493027,10.983660620059027
London Marylebone Road,MY1,2018-11-07 11:00:00,319.74099291326996,82.79755946964573,154.530481128303,11.230877910724448,16.191154873553558,4.226244369949487,184.063517961032,10.919271155343512
London Marylebone Road,MY1,2018-11-07 12:00:00,319.84751700479717,83.23673237030431,154.31353328961515,11.321730402733511,15.832511912236937,4.23580177485057,184.01515789537711,10.854502260484646
London Marylebone Road,MY1,2018-11-07 13:00:00,320.62764327574405,83.95303347007557,154.35515903610158,11.299772778694582,15.493235641357826,4.232793774633753,183.50523664407078,10.77419671758621
London Marylebone Road,MY1,2018-11-07 14:00:00,319.8708538692984,84.48271371926266,153.51614535772998,11.23835042141708,15.042453828935397,4.256607081452136,182.8442689955725,10.68907410575175
London Marylebone Road,MY1,2018-11-07 15:00:00,318.94262432021077,84.91187390391286,152.63087901420033,11.208636924782004,14.663888413654332,4.292287912946181,182.3126992219263,10.616882100548162
London Marylebone Road,MY1,2018-11-07 16:00:00,317.87695567328626,85.36492686677097,151.6403946769246,11.076107087649044,14.19256384673846,4.335440130495146,181.9234838461976,10.563865376825834
London Marylebone Road,MY1,2018-11-07 17:00:00,316.6018989580846,85.73701527302863,150.56615467980455,11.110505726832995,13.733526718482782,4.371182619387486,181.61801818886042,10.519444270346577
London Marylebone Road,MY1,2018-11-07 18:00:00,315.0253121166888,85.77785547673516,149.51129614186453,11.335649758091854,13.216221146788468,4.407264223970447,181.35633250269328,10.475065172204616
London Marylebone Road,MY1,2018-11-07 19:00:00,310.8365462795302,85.59372328754195,146.89954211467185,11.593880800474441,12.756168365345498,4.4413080854174485,181.22911313278448,10.42734658063578
London Marylebone Road,MY1,2018-11-07 20:00:00,308.5352390832827,85.52246165113087,145.4451443306969,11.818979198906481,12.303572910715523,4.463801686768484,181.0871688243216,10.361116710336542
London Marylebone Road,MY1,2018-11-07 21:00:00,308.36677628017486,85.74050374551746,145.19307252357623,12.036664171558641,11.853912788654377,4.483775465435356,181.08943490309724,10.288103679282584
London Marylebone Road,MY1,2018-11-07 22:00:00,307.26778065981557,85.8770673401945,144.38726182515416,12.225301521425333,11.469088300504096,4.49408021220808,181.2307922805574,10.218632899638362
London Marylebone Road,MY1,2018-11-07 23:00:00,304.84429628576595,85.61773775375653,142.97583679968716,12.377933972357674,11.106636809123579,4.498770747966824,181.38043004334233,10.163607567594667
London Marylebone Road,MY1,2018-11-08 00:00:00,303.5145297986459,85.47733318949989,142.200155193851,12.48235105821556,10.768327068779268,4.506139823393807,181.39123414728573,10.125787359890548
London Marylebone Road,MY1,2018-11-08 01:00:00,303.15787972870567,85.54740948897191,141.92185147413136,12.556767914992507,10.41069993003841,4.50810235805492,181.38598683166936,10.099012465292537
London Marylebone Road,MY1,2018-11-08 02:00:00,303.65536748464757,85.7955828441675,142.08445007940384,12.630951508500836,10.096578522555973,4.504523688126962,181.26289833805805,10.07703244974268
London Marylebone Road,MY1,2018-11-08 03:00:00,301.00748166596844,85.56015585391258,140.51108536776283,12.731568471755358,9.754517674834636,4.506377475398773,181.12180419025975,10.055056499515791
London Marylebone Road,MY1,2018-11-08 04:00:00,300.1398077147797,85.2797997883492,140.12804660690725,12.846751031723063,9.472293299497034,4.503712486807086,180.90687852638413,10.0239044378042
London Marylebone Road,MY1,2018-11-08 05:00:00,299.2856591333916,85.21730784600565,139.61174153580671,12.955775473376322,9.195650781978141,4.498097428850829,180.66369124542473,9.979181819871743
London Marylebone Road,MY1,2018-11-08 06:00:00,301.3869470962742,85.93462294202322,140.51434505253096,13.048539401850311,8.897081098107932,4.492083630467136,180.56354794279017,9.926134436838732
